# ● Daftar Mode Skenario (Kaisou Mode),,,,

#Nama file thumbnail,Nama file sumber thumbnail （untuk pembuatan otomatis）,File mulai*Label pindah*Label mulai,[[File selesai]*Label selesai*Label buka|@Flag],

:,Mizuha,,,

thum_dc5_mzh19601102c,,dc5_mzh19601102c.ks*dc5_mzh19601102c_START,@dc5_mzh19601102c,Karena Sudah Diputuskan Festival Budaya

thum_dc5_mzh19601103a1,,dc5_mzh19601103a1.ks*dc5_mzh19601103a1_START,@dc5_mzh19601103a1,Mungkin Ini Menyenangkan Ya

thum_dc5_mzh19601103a2,,dc5_mzh19601103a2.ks*dc5_mzh19601103a2_START,@dc5_mzh19601103a2,Melodi yang Bergema di Fajar Pagi

thum_dc5_mzh19601104c,,dc5_mzh19601104c.ks*dc5_mzh19601104c_START,@dc5_mzh19601104c,Kalau Dipuji Saja

thum_dc5_mzh19601105b,,dc5_mzh19601105b.ks*dc5_mzh19601105b_START,@dc5_mzh19601105b,Poko-taro dan Mizuha

thum_dc5_mzh19601107b,,dc5_mzh19601107b.ks*dc5_mzh19601107b_START,@dc5_mzh19601107b,Hakari-goto

thum_dc5_mzh19601107c,,dc5_mzh19601107c.ks*dc5_mzh19601107c_START,@dc5_mzh19601107c,Perebutan Mizuha?

thum_dc5_mzh19601109c,,dc5_mzh19601109c.ks*dc5_mzh19601109c_START,@dc5_mzh19601109c,Tinggal Satu Dorongan Lagi

thum_dc5_mzh19601109d,,dc5_mzh19601109d.ks*dc5_mzh19601109d_START,@dc5_mzh19601109d,Aku Ingin Mengajak Mizuha

thum_dc5_mzh19601111b,,dc5_mzh19601111b.ks*dc5_mzh19601111b_START,@dc5_mzh19601111b,Mungkin Itu Sudah Pasti

thum_dc5_mzh19601111c,,dc5_mzh19601111c.ks*dc5_mzh19601111c_START,@dc5_mzh19601111c,Kucing dan Gadis

thum_dc5_mzh19601112d,,dc5_mzh19601112d.ks*dc5_mzh19601112d_START,@dc5_mzh19601112d,"Bukan Mudah, Tapi Sederhana"

thum_dc5_mzh19601114c,,dc5_mzh19601114c.ks*dc5_mzh19601114c_START,@dc5_mzh19601114c,Aku Menyukainya

thum_dc5_mzh19601114d,,dc5_mzh19601114d.ks*dc5_mzh19601114d_START,@dc5_mzh19601114d,Penyebabnya Adalah Kata-kata Itu

thum_dc5_mzh19601115c,,dc5_mzh19601115c.ks*dc5_mzh19601115c_START,@dc5_mzh19601115c,Konfirmasi dan Jawaban

thum_dc5_mzh19601117c,,dc5_mzh19601117c.ks*dc5_mzh19601117c_START,@dc5_mzh19601117c,Laporan Hasil

thum_dc5_mzh19601118a,,dc5_mzh19601118a.ks*dc5_mzh19601118a_START,@dc5_mzh19601118a,Pagi Festival yang Penuh Semangat

thum_dc5_mzh19601119b,,dc5_mzh19601119b.ks*dc5_mzh19601119b_START,@dc5_mzh19601119b,Genggaman Tangan dan Pengawalan

